name,latitude,longitude,radius1,radius2, name-point1,point-inside-radius1, point-outside-radius1,name-point-2,point-inside-radius2,point-outside-radius2
Aldi,50.37932,-4.131244,50m,100m
plymotuh collage,50.384009,-4.137039
train plymouth,50.377675,-4.144173
lipson co-operative academy,50.381163,-4.111778
hyde park junior school,50.385486,-4.136948
food4u,50.3806,-4.133573
